order_id,total_price
1,1487
2,1130
3,508
4,976
5,2043
6,732
7,523
8,299
9,1315
10,874
11,461
12,714
13,1583
14,1254
15,1365
16,1786
17,670
18,952
19,1244
20,1557
21,494
22,973
23,563
24,322
25,527
26,614
27,1136
28,2267
29,892
30,1243
31,441
32,742
33,1355
34,709
35,1166
36,1150
37,1415
38,466
39,2066
40,1004
41,525
42,528
43,580
44,716
45,1318
46,768
47,1092
48,436
49,583
50,1371
51,590
52,945
53,573
54,719
55,119
56,1023
57,609
58,467
59,413
60,1093
61,879
62,390
63,807
64,738
65,624
66,2077
67,576
68,526
69,1285
70,100
71,327
72,836
73,1095
74,650
75,893
76,1105
77,2733
78,799
79,771
80,386
81,1099
82,1441
83,408
84,571
85,537
86,200
87,821
88,1370
89,831
90,1397
91,1090
92,1169
93,672
94,1225
95,1710
96,925
97,1474
98,1016
99,1017
100,1709
101,1198
102,327
103,1857
104,1141
105,286
106,810
107,1145
108,2141
109,708
110,818
111,1053
112,1044
113,2316
114,1412
115,594
116,318
117,1183
118,528
119,500
120,1167
121,1416
122,715
123,1867
124,2021
125,205
126,1268
127,1418
128,1718
129,506
130,95
131,948
132,903
133,576
134,1551
135,610
136,807
137,635
138,987
139,761
140,1507
141,805
142,2469
143,1089
144,890
145,978
146,624
147,112
148,1012
149,1039
150,951
151,738
152,1296
153,1579
154,700
155,102
156,997
157,699
158,1226
159,919
160,1498
161,1728
162,1170
163,1724
164,929
165,1085
166,1288
167,566
168,1042
169,2066
170,940
171,1468
172,1649
173,212
174,469
175,1567
176,1027
177,1057
178,295
179,1328
180,897
181,424
182,1929
183,1682
184,640
185,2095
186,1034
187,1195
188,742
189,603
190,321
191,891
192,1870
193,1629
194,1344
195,704
196,1212
197,941
198,693
199,1079
200,1348
201,1045
202,1239
203,941
204,641
205,514
206,1211
207,770
208,1079
209,628
210,651
211,1113
212,1657
213,1437
214,682
215,777
216,835
217,1596
218,645
219,505
220,978
221,1045
222,770
223,1470
224,1022
225,1383
226,1798
228,998
229,590
230,299
231,771
232,1286
233,979
234,697
235,1291
236,779
237,1046
238,1432
239,618
240,1101
241,642
242,1448
243,419
244,1169
245,1005
246,780
247,693
248,1667
249,1338
250,1032
251,853
252,2597
253,677
254,697
255,565
256,961
257,969
258,1091
259,564
260,1101
261,871
262,796
263,1066
264,1425
265,938
266,1184
267,866
268,220
269,908
270,1178
271,642
272,117
273,735
274,1172
275,1245
276,781
277,1593
278,1054
279,1441
280,517
281,1970
282,1426
283,1747
284,273
285,404
286,1390
287,760
288,1999
289,1963
290,986
291,1378
292,1452
293,1298
294,921
295,313
296,1252
297,1928
298,1226
299,1716
300,204
301,1513
302,385
303,873
304,1538
305,865
306,327
307,874
308,739
309,307
310,1055
311,754
312,2279
313,1755
314,1932
315,501
316,910
317,523
318,402
319,698
320,1417
321,1537
322,1281
323,1754
324,1256
325,452
326,675
327,1384
328,477
329,898
330,1711
331,204
333,1533
334,1461
335,474
336,943
337,1014
338,897
339,1096
340,735
341,2267
342,1171
343,632
344,546
345,510
346,1542
347,688
348,1759
349,1039
350,1196
351,1834
352,1180
353,1423
354,1410
355,710
356,1626
357,547
358,2024
359,742
360,614
361,1046
362,706
363,556
364,880
365,1583
366,1054
367,1588
368,1241
369,820
370,1821
371,1411
372,942
373,1435
374,1747
375,574
376,1337
377,1461
378,575
379,1114
380,1527
381,2217
382,657
383,924
384,644
385,616
386,691
387,1115
388,726
389,1358
390,928
391,1567
392,706
393,1281
394,1714
395,1016
396,800
397,675
398,332
399,1074
400,1303
401,1231
402,200
403,1061
404,198
405,831
406,1427
407,595
408,1803
409,1307
410,183
411,1078
412,616
413,1486
414,526
415,1467
416,1470
417,1157
418,896
419,1479
420,1164
421,1423
422,966
423,1393
424,1237
425,1154
426,180
427,2333
428,540
429,428
430,427
431,704
432,701
433,452
434,1759
435,1266
436,400
437,1332
438,717
439,1606
440,1171
441,1742
442,434
443,600
444,505
445,530
446,1187
447,1308
448,600
449,724
450,1234
451,612
452,189
453,224
454,850
455,500
456,480
457,1360
458,1527
459,868
460,525
461,1188
462,1255
463,1366
464,1733
465,1017
466,674
467,1057
468,925
469,210
470,518
471,1081
472,1664
473,236
474,1412
475,1329
476,1344
477,842
478,1450
479,1030
480,801
481,1765
482,917
483,1015
484,318
485,186
486,754
487,1203
488,1101
489,1201
490,675
491,970
492,1443
493,1437
494,2268
495,578
496,1328
497,424
498,607
499,1952
500,1134
501,1375
502,1807
503,1257
504,1493
505,1383
506,1145
507,862
508,1504
509,1289
510,1612
511,1929
512,551
513,319
514,435
515,1268
516,885
517,2298
518,1110
519,1597
520,1914
521,1713
522,751
523,1625
524,725
525,1752
526,1382
527,1419
528,1159
529,708
530,2450
531,991
532,641
533,649
534,285
535,1244
537,942
538,1241
539,1318
540,1251
541,790
542,1420
543,1166
544,1527
545,2300
546,885
547,2161
548,507
549,315
550,1347
551,345
552,1654
553,816
554,532
555,984
556,1355
557,1554
558,1179
559,1547
560,382
561,712
562,1364
563,1265
564,645
565,690
566,792
567,819
568,876
569,955
570,1588
571,1483
572,1081
573,625
574,533
575,841
576,1069
577,1755
578,1768
579,846
580,697
581,726
582,1175
583,2144
584,714
585,1103
586,1822
587,1204
588,820
589,1888
590,685
591,336
592,2116
593,1154
594,981
595,270
596,301
597,180
599,965
600,624
601,1152
602,415
603,198
604,1032
605,800
606,1149
607,1106
608,585
609,1253
610,851
611,939
612,724
613,1226
614,1152
615,1213
616,869
617,1063
619,473
620,1060
621,640
622,980
623,390
624,1764
625,632
626,684
627,304
628,1680
629,1014
630,1266
631,797
632,1018
633,1431
634,2088
635,1089
636,668
637,806
638,1605
639,876
640,106
641,819
642,1781
643,1782
644,970
645,1670
646,737
647,823
648,990
649,1159
650,1132
651,1688
652,724
653,1380
654,585
655,960
656,627
657,529
658,1520
659,576
660,797
661,1196
662,1287
663,603
664,222
665,412
666,1030
667,1316
668,2539
669,421
670,749
671,1290
672,1452
673,1448
674,1431
675,1708
676,912
677,1502
678,605
679,858
680,511
681,859
682,1024
683,1163
684,353
685,383
686,708
687,1162
688,963
689,1299
690,815
691,997
692,740
693,1587
694,1755
695,857
696,873
697,1229
698,1683
699,1815
700,1311
701,847
702,1534
703,763
704,941
705,2495
706,685
707,1866
708,1122
709,924
710,605
711,1018
712,1529
713,1043
714,1475
715,1414
716,1401
717,1096
718,2082
719,1823
720,944
721,1178
722,941
723,1030
724,1691
725,808
726,408
727,273
728,1035
729,392
730,1356
731,621
732,571
733,932
734,2455
735,1303
736,1285
737,1733
738,998
739,688
740,1079
741,369
742,1152
743,912
744,1120
745,2010
746,1462
747,656
748,1265
749,1158
750,1891
751,1347
752,1073
753,546
754,1347
755,1450
756,343
757,300
758,860
759,1068
760,1098
761,417
762,1240
763,797
764,1685
765,719
766,1229
767,858
768,1355
769,188
770,654
771,505
772,809
773,1005
774,660
775,1055
776,743
777,1855
778,1099
779,1772
780,1051
781,1076
782,1085
783,781
784,1080
785,1693
786,1380
787,1194
788,1215
789,736
790,1998
791,1119
792,1896
793,1556
794,1568
795,522
796,295
797,1367
798,881
799,937
800,989
801,2140
802,238
803,950
804,1571
805,1397
806,456
807,572
808,921
809,876
810,2136
811,616
812,805
813,2032
814,1888
815,1612
816,982
817,810
818,400
819,890
820,1062
821,788
822,726
824,592
825,1015
826,294
827,1472
828,859
829,840
830,1106
831,980
832,95
833,1030
834,923
835,1057
836,506
837,1098
838,636
839,2235
840,1138
841,1154
842,855
843,1914
844,1148
845,1199
846,226
847,495
848,2236
849,948
850,1144
851,755
852,1108
853,1485
854,312
855,1025
856,1234
857,1141
858,1300
859,697
860,790
861,741
862,575
863,920
864,530
865,270
866,721
867,715
868,507
869,1731
870,1249
871,390
872,1794
873,673
874,1807
875,674
876,1245
877,708
878,443
879,364
880,1237
881,1453
882,1351
883,1432
884,2025
885,1256
886,1265
887,857
888,238
889,200
890,2264
891,1286
892,212
893,1154
894,1483
895,1143
896,945
897,1826
898,1379
899,1085
900,1335
901,887
902,996
903,1117
904,1257
905,698
906,863
907,380
908,2093
909,1408
910,1136
911,499
912,279
913,427
914,506
915,1428
916,295
917,109
918,524
919,96
920,1730
921,690
922,497
923,1492
924,519
925,927
926,1313
927,1132
928,953
929,748
930,721
931,292
932,399
933,1173
934,1054
935,1690
936,2376
937,569
938,1503
939,1210
940,2289
941,621
942,869
943,529
944,234
945,1058
946,400
947,291
948,492
949,1198
950,858
951,833
952,1372
953,1781
954,1801
955,932
956,1271
957,288
958,289
959,948
960,1338
961,699
962,1633
963,1378
964,309
965,1234
966,2550
967,1096
968,1667
969,688
970,2390
971,721
972,1824
973,499
974,1282
975,655
976,818
977,877
978,1181
979,444
980,1450
981,1420
982,1024
983,1217
984,2074
985,1093
986,685
987,1137
988,1203
989,809
990,1149
991,1239
992,1015
993,1109
994,836
995,1127
996,1459
997,204
998,1352
999,440
